date,selected_return,selected_alpha,best_return,best_alpha,selected_stocks,risk_power,fold,train_fraction
2025-08-26,0.23177275656740695,0.221882003788556,0.3367057544212929,0.3268150016424419,"300502,300308,300394,688256,300433",0.0,1,0.7
2025-08-27,0.0481364080913321,0.028395175645849712,0.2483138769347537,0.22857264448927134,"300308,002230,600016,600372,601919",0.0,1,0.7
2025-08-28,0.04529616612806275,0.05631151255077789,0.23832805544348118,0.24934340186619633,"300308,688256,300502,300476,603893",0.0,1,0.7
2025-08-29,-0.03506188107336313,0.00127169714890578,0.14935358769164023,0.18568716591390913,"002230,300308,601169,600015,300661",0.0,1,0.7
2025-09-01,-0.10247017201742463,-0.08750033259796847,0.3162761411018439,0.33124598052130005,"300308,300502,688041,688256,600588",0.0,1,0.7
2025-09-02,-0.09258942328531583,-0.08724589406549801,0.2645889075059397,0.2699324367257575,"688256,300476,688082,300033,300502",0.0,1,0.7
2025-09-03,-0.05610909168447632,-0.058618636846978024,0.1847289371751743,0.1822193920126726,"688256,002625,302132,688041,300274",0.0,1,0.7
2025-09-04,0.09460092234014536,0.07655660441087545,0.19645094703025748,0.17840662910098753,"300502,688256,300476,002916,688041",0.0,1,0.7
2025-09-05,0.09285269632782896,0.07603832860237451,0.15089036406569203,0.1340759963402376,"688256,300502,300394,688041,300308",0.0,1,0.7
2025-09-08,0.16831429814508808,0.1555149482877883,0.265865563873275,0.2530662140159753,"300502,300308,688256,300394,300476",0.0,1,0.7
2025-09-09,0.12005267201271339,0.10175350910652856,0.2476764857880372,0.22937732288185236,"300394,300308,688256,300502,688041",0.0,1,0.7
2025-09-10,0.0209037961257422,0.003775730718172795,0.2335819463750944,0.21645388096752502,"300394,688256,300502,300308,002625",0.0,1,0.7
2025-09-11,-0.012828026580930695,-0.014170675919141723,0.1795942588986441,0.17825160956043312,"688256,300394,300308,300502,300014",0.0,1,0.7
2025-09-12,-0.02628588350762811,-0.019077110036641073,0.17663724278659437,0.1838460162575814,"300394,688256,302132,600958,000786",0.0,1,0.7
2025-09-15,-0.00686774907282643,-0.0018360067157203758,0.15466379892749638,0.15969554128460242,"300502,300394,688256,302132,601698",0.0,1,0.7
2025-09-16,0.030255317972780436,0.03171415297408488,0.22704010693692686,0.22849894193823128,"300394,302132,300502,688256,601211",0.0,1,0.7
2025-09-17,-0.009904963320755673,0.005964499887737868,0.17697628523357764,0.1928457484420712,"601211,300394,601336,300502,600999",0.0,1,0.7
2025-09-18,0.0014538950040017963,-0.008856142444542426,0.1761151890269424,0.16580515157839815,"300308,300502,600016,601088,688256",0.0,1,0.7
2025-09-19,0.007186988231645391,8.234497391128442e-05,0.1792522451653713,0.1721476019076372,"688256,300308,300476,300502,300394",0.0,1,0.7
2025-09-22,-0.08290496216404097,-0.08739398167411916,0.1570455121540215,0.1525564926439433,"688256,688041,300476,300308,300394",0.0,1,0.7
2025-09-23,0.040527610226567076,0.012639203461861679,0.20965098797096263,0.18176258120625727,"688256,300476,300502,600010,302132",0.0,1,0.7
2025-09-24,0.002969551943092165,-0.019468952213108088,0.23247018009511433,0.2100316759389141,"300476,300308,688256,002384,300502",0.0,1,0.7
2025-09-25,0.0566695902023003,0.026421783635811453,0.2513232810881928,0.22107547452170398,"600918,000338,600893,600019,002236",0.0,1,0.7
2025-09-26,-0.10186088788563963,-0.09773907097704755,0.184499161407982,0.18862097831657404,"688256,300476,300308,300394,002384",0.0,1,0.7
2025-09-29,-0.02888375081478429,-0.04072616150518345,0.2445467027999228,0.23270429210952362,"601998,300274,601398,601988,601628",0.0,1,0.7
2025-09-30,-0.11065848040998609,-0.09814234206763972,0.1260113125685544,0.13852745091090074,"688256,601127,300476,300394,688041",0.0,1,0.7
2025-10-09,-0.04565282652500661,-0.03310277433187571,0.10599594095414082,0.1185459931472717,"688256,300251,300476,002027,300413",0.0,1,0.7
